order_id,label
78387,83
78387,83
891333,75
891333,74
1106623,63
1106623,63
1389484,74
1389484,74
188537,73
188537,74
537030,64
537030,64
517706,54
517706,54
270836,63
270836,63
441362,75
441362,75
76435,74
76435,74
903987,75
903987,75
1749105,53
1749105,54
760441,74
760441,74
163153,75
163153,75
1718308,75
1718308,75
113197,84
113197,84
1660785,66
1660785,66
1796188,74
1796188,74
1725437,64
1725437,64
974312,74
974312,74
1016344,54
1016344,54
4156,53
4156,53
1013785,73
1013785,73
420053,54
420053,54
737601,75
737601,75
1663013,63
1663013,63
399789,63
399789,63
1399630,85
1399630,85
773687,54
773687,54
466460,75
466460,75
770455,55
770455,54
498783,53
498783,54
696318,62
696318,62
1636726,64
1636726,64
6291,73
6291,74
381450,74
381450,64
332076,75
332076,74
1802934,75
1802934,75
785926,74
785926,74
424808,43
424808,44
529327,54
529327,54
638449,64
638449,74
1630164,74
1630164,74
994397,64
994397,74
38637,54
38637,64
63918,53
63918,53
687323,52
687323,52
1623489,74
1623489,74
256130,74
256130,74
1224745,76
1224745,76
573805,75
573805,65
982500,42
982500,42
1006857,73
1006857,73
1637429,75
1637429,75
143407,84
143407,84
215492,85
215492,75
552334,54
552334,44
203511,53
203511,53
349812,75
349812,75
1802844,75
1802844,75
324947,75
324947,85
1398230,75
1398230,65
1563430,46
1563430,45
128188,64
128188,64
748550,64
748550,64
536965,54
536965,54
1343437,63
1343437,63
1012072,84
1012072,84
1132212,55
1132212,55
588408,64
588408,64
1623601,63
1623601,63
1231225,76
1231225,76
1648085,74
1648085,74
1787229,64
1787229,64
758465,84
758465,84
461206,84
461206,84
1529422,75
1529422,65
306858,73
306858,73
811041,74
811041,74
80889,63
80889,63
108772,54
108772,54
541767,54
541767,64
1273528,55
1273528,55
1233091,63
1233091,63
380625,54
380625,54
408144,65
408144,65
1266384,74
1266384,74
413390,74
413390,64
819758,64
819758,64
931740,64
931740,64
699531,54
699531,54
1062902,64
1062902,64
203972,63
203972,63
1701270,75
1701270,75
1173878,63
1173878,63
897825,74
897825,74
1576368,64
1576368,64
998498,63
998498,63
1241087,72
1241087,73
44566,75
44566,75
338989,62
338989,62
1371846,63
1371846,63
402972,75
402972,75
401996,75
401996,75
249011,54
249011,64
555136,63
555136,63
22096,74
22096,74
1039577,64
1039577,64
1504315,74
1504315,74
1146919,53
1146919,54
1080844,63
1080844,63
1056621,54
1056621,53
183349,74
183349,75
856060,63
856060,73
71825,74
71825,74
990456,73
990456,74
1469096,64
1469096,74
442672,75
442672,75
31091,53
31091,53
1419609,75
1419609,75
1218938,75
1218938,75
536118,72
536118,72
122094,83
122094,83
152335,75
152335,75
741983,74
741983,75
1177039,75
1177039,75
138825,55
138825,45
395978,43
395978,43
783096,65
783096,65
1313541,64
1313541,64
1223059,64
1223059,73
1655877,63
1655877,63
836886,85
836886,74
786634,64
786634,65
1389706,72
1389706,72
252044,54
252044,54
823025,53
823025,53
1143248,54
1143248,64
1403381,75
1403381,74
668467,64
668467,64
953542,64
953542,64
747491,75
747491,75
607291,74
607291,74
589231,64
589231,64
390091,85
390091,85
1065063,54
1065063,54
309579,73
309579,73
136921,33
136921,33
17159,54
17159,54
1529188,75
1529188,75
1115686,74
1115686,74
687418,65
687418,65
1470373,54
1470373,54
189199,74
189199,74
1560838,54
1560838,54
265769,64
265769,74
470377,64
470377,64
325859,64
325859,64
744001,43
744001,43
1100249,53
1100249,43
587046,75
587046,65
503027,43
503027,43
